Sno,Title,Date,User,text
2962,Soredemo Ayumu wa Yosetekuru,2022-11-07,YudiYusantoS,Here is my review of this anime in 2022! Story (9) The story is about a high school student where there is a shogi club. The main character is a
2963,Overlord IV,2022-11-07,Hail_Lelouch,"Continuing with the 4th season after 4 years, Overlord sees Lord Ainz planning his world domination. First of all, the animation has been an improvement compared to Season 2 and"
2964,Douluo Dalu 2nd Season,2022-11-07,MarekJarowicki,"10/10 I am shounen fan and not a fan of computer animation, that doesnt look like animated manga. These chineese animes never made me happy before, and were also shallow"
2965,Saint☆Oniisan (Movie),2022-11-07,TheAsterNaut,"As a believer in Jesus, I decided to watch with bated expectations on how good they would portray him and Buddha. To my surprise, they did a great job of"
2966,Lycoris Recoil,2022-11-07,Peteromg,"It gets even better the longer you watch it. Why It Rocks: the animation is spectacular, as expected from A-1 Pictures. The Soundtrack: OP and ED: sound amazing, yet the"
2967,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-11-07,Lunaraies,"At first sight the show seemed interesting so giving it a chance was a good decision, now I absolutely love it. Animes with an isekai twist where the MC gets"
2968,Lycoris Recoil,2022-11-07,_hakase,"LycoReco is a fun little yuri-bait with lovable characters, well-written dialogues and decent production. The writing's mind-boggingly simple with a pinch of symbolism and deeper undertones that are rather superficial"
2934,Nyanko Days,2022-11-08,jasminjanell21,"This is just the cutest anime I’ve ever seen! Short, simple, and sweet for a perfect cozy anime watching day. :) Nothing serious, just a girl with her kitties that"
2935,Koi wa Sekai Seifuku no Ato de,2022-11-08,enriquelirac,"Love is in the air. Love makes the world go round. Every year needs a new love story because love explains everything we see and feel daily. During 2022, without"
2936,Murenase! Seton Gakuen,2022-11-08,hexashadow13,"tl;dr: An anime that despite being rooted in animal science, is just pure absurdist comedy, but good absurdist comedy. This is a bizarre anime that is just random stuff without"
2937,Chainsaw Man,2022-11-08,TiFFDerQueen,Love it: (newbie's perspective) I am very lucky I am not late to this new amazing anime. I started watching anime since August in 2022 (yes I know I am
2938,Citrus,2022-11-08,Un_Jardinier,I don't know how to write a review so... Well as a person who read the manga before watching the anime this was a misunderstanding.. That's actually sad because if
2939,Seiyou Kottou Yougashiten: Antique,2022-11-08,Ella_Yo2001,"If you are looking for some yaoi action or BL (boys love) unfortunately this anime is not really the case. Even though we have a character who is gay, the"
2940,Romantic Killer,2022-11-08,JustKeepBinging,"This was a really good anime. It was so funny and entertaining, and the change of art style always cracked me up. I read online while trying to find a"
2941,Kino no Tabi: The Beautiful World,2022-11-08,JustKeepBinging,This was a really good anime. Unfortunately it was so good I forgot to record and review it… It is about a traveler that goes to different countries and explores
2942,Bleach: Sennen Kessen-hen,2022-11-08,Humanmud,"\"6th episode will be the famous \"\"6th episode\"\" after next week and probably will hold the \"\"best bleach episode ever\"\" title until the end of time. I really can't understand\""
2943,Summertime Render,2022-11-08,ailexee,Rules and restrictions will make a story infinitely better. Summertime Render is an amazing show that hits you with a mystery that will continue to intrigue you until the last
2944,"Fuufu Ijou, Koibito Miman.",2022-11-08,Bizuti,"\"Why are you getting embarrassed, Mr. Virgin? -Akari Watanabe Fuufu Ijou, Koibito Miman is a slice-of-life/romance show about students which have the weird school project of having a \"\"simulated marriage\"\".\""
2945,NHK ni Youkoso!,2022-11-08,Zaugr,"From a mid-twenty something suffering a quarter-life crisis, feeling depressed and meaningless in the post-education, office-life monotony of the world; to a naturally caring, vulnerable person being forced to change"
2946,One Piece,2022-11-08,HeavenlyDemon_,One Piece Review: One Piece is an anime I would highly recommend watching and trying it out. It is about someone named Monkey D. Luffy and his journey in becoming
2947,Koukyuu no Karasu,2022-11-08,jaamun100,"Update: After watching all 12 episodes, I can confidently rate this a masterpiece, the only 9+ rating I'm handing out for the Fall 2022 season. The plot is so intricate"
2948,Chainsaw Man,2022-11-08,Panda_Roll,"Chainsaw Man is easily the most hyped anime of the year. So, does it live up to that? Yes... and no. The anime is a shonen action flick with a"
2949,Blue Lock,2022-11-08,KiyaHaru,"Hm, I'm not quite sure if it's a correct decision to write a review since there only are 4 episodes (I have yet watched the 5th one) but well, I"
2950,Peter Grill to Kenja no Jikan: Super Extra,2022-11-08,agaliarept,"Amazing sequel to amazing anime. One punch man but with nice plot, character design and humour. Unique story of the man with the dream. Story: 10 - Solid as fuck."
2915,Human Bug Daigaku,2022-11-09,Weeshi,"This season everyone is hype for many shows. Chainsaw Man, Blue Lock, Mob Psycho 3, Spy x Family 2 - plus multiple cute slice of life and hell even some"
2916,Chainsaw Man,2022-11-09,EuclideanDream,"\"Weebs really do like to discredit the work put into the animation, I'd say it'd be a good anime to recommend to someone starting out with anime. All this \"\"It\""
2917,Overlord,2022-11-09,Mist878,"Overlord is one of those anime that shares a special place in my heart, and it always will. To understand why, you must know what side of the dark woods"
2918,Bocchi the Rock!,2022-11-09,Palomowo,"K-on! but better. Before i got defenestrated listen up, Bocchi LA ROCA! is a music anime, not girls just doing cute things (u got that but with a big charge"
2919,One Piece,2022-11-09,luiskyns,"What to say about this work? The premise seems to be quite simple. A boy who wants to become King of the Pirates, but over time, that story is stretched"
2920,Blue Lock,2022-11-09,nradi,"I am not a fan of sports anime. At all. I decided to give blue lock a try given the hype from the manga readers, and I didn't expect to"
2921,Mob Psycho 100,2022-11-09,BlackLolitarose,Is Mob Psycho 100 the greatest anime ever made? Maybe. And I don't say that lightly. I've been watching anime my entire life and I have a strong comprehension and
2922,Given,2022-11-09,JustKeepBinging,This is SUCH a good anime. I binged the entire thing in a few hours and watched the movie. I love how everyone can be openly gay and all the
2923,Clockwork Planet,2022-11-09,Berch0,"This is... really over hated. Like, really over hated. Most of what I saw in this was actually positive, the characters and plot were interesting, and it was totally enjoyable"
2924,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,2022-11-09,Nedrahharden,"Too many Isekai lack what Ascendance of a Bookworm does in spades. As a fantasy setting the world is realistic, but not so much so that it is just copying"
2925,Yuri Kuma Arashi,2022-11-09,WaterCake,"Strange yuri anime. It is made with the essence of like nonsense literature and has some not too difficult message. I like this anime very much, but I can understand"
2926,Romantic Killer,2022-11-09,StarryyChai,"In the midst of shows like Chainsaw Man, Spy x Family, and more crazy good animated shows, Romantic Killer proves that you don't need an insane animation budget to make"
2927,Romantic Killer,2022-11-09,n6jim,PAMPACAPAM! おめでとうございます! (omedetou gozaimasu!) For me it was the funniest anime I've watched this year! The character Riri (capitalist magic ball from the anime) is responsible for transforming our no-hero
2928,One Piece Film: Red,2022-11-09,KaneSouth,"TLDR: the best description for this movie isn't ''an OP movie that doesn't follow the main plotline'', but ''a rave musical concert that features OP characters'' and as such, was"
2929,Monster,2022-11-09,Giannis20,"Great anime, after all those years of it's release, it's still a must watch. Anime's like this shows that time means nothing and a masterpiece will remain a masterpiece. Very"
2930,Berserk: Ougon Jidai-hen - Memorial Edition,2022-11-09,fvshi,"This Memorial Edition is promising, not only because it is the umpteenth revival of the arch of the golden age; But also because it adds minimal parts, graphic corrections, and"
2931,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2022-11-09,SgtRohn,"Finished. 9/10. 17:47. 09/11/2022 There is nothing more painful than agonizing over the fact that you can't change the past, or that you are stuck in it. This anime nails"
2932,Cyberpunk: Edgerunners,2022-11-09,therealnaut05,"I've last watched this on September 13th, so if there is anything off, I apologize for that. If you were to tell me in 2020 that an anime would singlehandedly"
2933,Cyberpunk: Edgerunners,2022-11-09,toothline,"you know, i was put off at first because of the negative comments, but i still watched it anyway just to at least see cool cyborgs. and honestly, i don't"
2890,Code Geass: Hangyaku no Lelouch,2022-11-10,ThorLL,"There are plenty of good anime, there are many great anime. There are few outstanding ones, that manage to go beyond entertainment and manage to predict future or advance human"
2891,Urusei Yatsura (2022),2022-11-10,JiegerBlack34,Urusei Yatsura is a weird case for me since on paper is a show I should Hate. Since the protagonist is a straight pervert who has a pretty gal fallen
2892,Yofukashi no Uta,2022-11-10,Ghosty-Senpai,"On the surface, 'Yofukashi no Uta' doesn't really do anything super special. It's a slow-paced supernatural romance story that doesn't really get too far with its scant thirteen episodes, leaving"
2893,Shoujo Kakumei Utena,2022-11-10,MaiJara01,"One of the best animes ever written, no joke. This is an abstract anime, which may not be for everyone, it's a love letter to adolescence and growing up. I"
2894,Shiguang Dailiren,2022-11-10,DaxtotheMax,You saw the poster I assume? Well you're right. This is like an animated webtoon in terms of style so it's different. That isn't to say that the quality is
2895,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2022-11-10,Myrmiderp,"Spoiler-free should-you-watch review of the entire series: Kaguya-sama is good. I'd say the writing is solid, admirable even, for such a stodgy premise. The humor is a bit deeper than"
2896,Romantic Killer,2022-11-10,ROMA-KIRA,ROMANTIC KILLER is my favorite anime of 2022 now— I already get that’s gonna raise a lotta eyebrows— even more so 'cause I went so far to make a MyAnimeList
2897,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,2022-11-10,TheCattastic,"\"This one certainly feels different than most game/isekai anime. There doesn't seem to have a bigger picture like \"\"oh we got a very evil villain that wants to destroy everything\""
2898,Xi Yangyang Yu Hui Tailang,2022-11-10,TinyWill,A modern classic. The embodiment of childhood combined with the spirit of creativity. Those who dare tread into this wonderland of exuberance shalt be greeted with not only the roots
2899,Zombieland Saga,2022-11-10,Zany_Zombie,"Zombieland Saga If you like Idol anime, this show will be an interesting and possibly unique experience. If you don’t, you might want to give this a try if you"
2900,Detective Conan Movie 25: Halloween no Hanayome,2022-11-10,JurassicOtaku212,"Watched it last Thursday (on it's official release date in Singapore ). I gotta say, it lived up to my expectations, awesome movie. I loved the plot and the story,"
2901,Urusei Yatsura (2022),2022-11-10,MotherMisato,This show is just fun its not very deep or plot driven from what I've seen so far its more just comedic situations with the cast. It doesn't have some
2902,Hai to Gensou no Grimgar,2022-11-10,IgnitedJesus,Hai to Gensou no Grimgar is a typical yet not typical style of isekai that really allowed it to be its own thing. If I had to compare it to
2903,Romantic Killer,2022-11-10,Omelettea,"It's no exaggeration when I say this anime is AMAZING! And I'm so glad to see many positive reviews on this anime cause, we can all agree on this one!"
2904,Romantic Killer,2022-11-10,pnkchampagne,I'm hoping for another season please this was so refreshing. I usually drop new gen romance animes after the first few episodes but this one made me want to binge
2905,Imawa no Kuni no Alice,2022-11-10,ricuringa,"Awesome and Amazing. (My first review on MAL! sorry for any english mistakes, I don’t live in a english speaking country) History: 10/10 I've been hearing that there was a"
2906,Made in Abyss,2022-11-10,WaterCake,Great animation. I don't think I would recommend it to everyone. What is remarkable about this anime is that grotesque and perverted expressions and spiritual suffering cohabitate with wholesome adventure.The
2907,Another,2022-11-10,ThorLL,As a horror story it would be an understatement to say that this anime has significant flaws. The whole story about cursed class where people dying one by one because
2908,86,2022-11-10,joandra_ong25,"At first I was just looking for an anime to watch, and it came to this as the graphics looked absolutely attractive. Never did I expect that I would be"
2909,Houkago Saikoro Club,2022-11-10,KYOTO5,"Will charm you more if you are a board game player. Not so much if you aren't. Calm, relaxing. No stupid cliches. Gets straight to the point - presenting you"
2910,Bocchi the Rock!,2022-11-10,Shisotherock,"I just think that this is really good and nothing can change my mind so just enjoy it for yourself and you'll find the fun, I never thought that I"
2911,Call Me Tonight,2022-11-10,Sk4teWeeb,"Saw a recommendation of this anime on YT, concept sounded funny to me so had to give it a shot. When I saw only one episode of 30 minutes long"
2912,Bocchi the Rock!,2022-11-10,KazuhikoShinichi,"So first of all, I'm not a fan of music band themed anime and also i haven't watch anime again for a while, but recently I kinda jump in the"
2913,Ashita no Joe,2022-11-10,Smilinggoat,Ashita no Joe is according to me the greatest animanga of all time. And after finishing both the anime and the manga I feel lika nothing I will read/watch from
2914,Redline,2022-11-10,Weebbe,"Redline is a very exceptional film, for one fact alone. This thing took seven years to animate. Seven years. That is some dedication right there and because of that I"
2866,Kuroshitsuji II Specials,2022-11-11,YLA55,"Probably the best adaptation of the classic 'Alice In Wonderland' in anime. They stick rather close to the book, but they stay in character at the same time. In the"
2867,Gintama,2022-11-11,ThorLL,"Since ancient times, Kings employed court jesters to entertain themselves, their retainers and guests. Jesters would do funny non-sensual things and be laughed at. Some of them even reached some"
2868,Banana Fish,2022-11-11,kooorapika_maija,"Banana fish, an anime series written by Akima Yoshida is a beloved show to many around the world. The story takes place in New York in the 80s (although in"
2869,Uramichi Oniisan,2022-11-11,Mr_Jimi1990,"One day, you're in your 30's. Every single day, you start to hate even your own birthday. You feel dealing with some people is a hassle. You got stuck on"
2870,Memories,2022-11-11,TheAsterNaut,"Memories is a set of 3 short films in an anthology, and due to that I will be rating all 3 separately. Magnetic Rose is probably one of the best"
2871,Mahou Shoujo-tai Arusu the Adventure,2022-11-11,ismichi,"f you're looking for a simple story that actually bothered to create a world for its cast in every aspect, this is definitely something that deserves the try! Points were"
2872,Yofukashi no Uta,2022-11-11,Sadboy74,The last 4 episode were 8 stars materials. This anime is pretty awesome for new watchers or if you haven't watched anime in a while (which was me) I liked
2873,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,2022-11-11,ismichi,The reviews commenting the lack of plotline must not've watched the first season: nothing changed but Bakarina's acknowledgement she dodged all Bad Endings back in her childhood. This is still
2874,Koi wa Ameagari no You ni,2022-11-11,Myrmiderp,Spoiler-free should-you-watch review: Elephant in the room: the premise of this anime is that a high school girl has developed feelings for her 45 year old boss. I opted to
2875,Black Lagoon,2022-11-11,ThorLL,"Many like Black Lagoon for its wild shootouts and badass characters, but I would not have given it 9 if it was just that. This show is much more than"
2876,Komori-san wa Kotowarenai!,2022-11-11,edgemastered,Komori-san wa kotowarenai is the kind of manga you read with no spectations and leaves you satisfied. The story is pretty simple yet complete. there's kind of a romance and
2877,Yama no Susume,2022-11-11,Zedlin,"\"\"\"You can't do it because you think you can't. For almost anything"
2878,Mob Psycho 100 II,2022-11-11,befalt,"A heart. It is a component many works seem to neglect to implement into their final structure. Understandably, people can view it as an irrational generalisation, yet to me, this"
2879,Yi Nian Yong Heng: Chuan Cheng Pian,2022-11-11,Toniomess,One of the best if not the best chinese anime. I was afraid Bai Xiao Chun would be a lot different from season 1 because I really like his funny
2880,Hoshi no Samidare,2022-11-11,Penteano,"No spoilers. Due to this low socre that makes no sense, I decided to write this. Ignore the score you see in MAL. As of ep 18 this is easily"
2881,Cyberpunk: Edgerunners,2022-11-11,Piamauyn,"Having watched Persona 5 the Animation, my expectations was low. Cyberpunk: Edgerunners seemed a clumsy advertisement for the original game. Actually, it is a decent anime. The central place in"
2882,Yu☆Gi☆Oh! VRAINS,2022-11-11,YLA55,"Out of all the YGO series I have watched, this series would have to be the most UNDERRATED out of the lot. I studied Media when I was in College"
2883,Arknights: Reimei Zensou,2022-11-11,pedrovsky,"I play this game since the launch on global, and the first part of the story that was the weakest for being a new game is now finally getting a"
2884,Bakemonogatari,2022-11-11,Perception,"Bakemonogatari, roughly translated as Ghost Story, is the inception of a tale that entertains adverse themes that most adolescents struggle with. The Monogatari Series portrays countless tribulations like envy, lust,"
2885,Cyberpunk: Edgerunners,2022-11-11,bogdanZ_123,"Cyberpunk: Edgerunners it's the best netflix anime series i've watched. (I watched many netflix series) The anime is very intense, plus it has quite a few genres of action, some"
2886,Suzume no Tojimari,2022-11-11,HaiKaneDesu,"***SPOILER FREE*** Suzume no Tojimari is a soothing yet mysterious story. A young country girl is on an adventure of self-discovery, exploring urban cities of Japan for the first time"
2887,Kumichou Musume to Sewagakari,2022-11-11,YudiYusantoS,Here is my review of this anime in 2022! Story (10) The story is about a yakuza member who is known as a yakuza killer since He's very strong and
2888,Haikyuu!! To the Top,2022-11-11,Im_Stuff,"Overall rating: 6, further review below I hate it. I hate it so much. Someone explains to me why the best part, of the entire anime mind you, was actually"
2889,Suzume no Tojimari,2022-11-11,Whipdash,"Revolutionary animation with a great story that takes us through south Japan to the north! Makoto Shinkai makes another stunning anime, but this time the story felt way more fulfilling"
2841,Shoujo Shuumatsu Ryokou,2022-11-12,carsonjulvezan,READ THE MANGA WHERE THE ANIME LEFT OFF. It's only a few chapters and it made me experience new feelings that I had never felt before. The anime itself is
2842,Spy x Family,2022-11-12,SgtRohn,"Finished. 9/10. Slice-of-life animes often don't have a lot of special quality to them that would make them stand out from other, more audience-tight genres, such as action or supernatural."
2843,Spy x Family,2022-11-12,KaimuraTV,"Hello, Kaimura here! I would like to break down this show here, and explain my perspectives and how I feel about it. The things I like about it. 1. I"
2844,Uzaki-chan wa Asobitai! Double,2022-11-12,KitsuFreeze,"The biggest Wokeland, Twitter and Breast-enviers enemy is back! After a 2 year wait, Uzaki Hana makes her return in big style. Along with her easygoing senpai Sakurai Shinichi, Uzaki's"
2845,Blue Lock,2022-11-12,JJerAx,"The amount of haters I see is actually crazy, as somoene who read and is caught up with the manga I can confidently say that blue lock is going to"
2846,Beck,2022-11-12,OneFaintingRobin,"It's been a little while since I've found a show that really resonated with me like this one. I'm something of a musician myself, and while I can't relate to"
2847,Burn the Witch,2022-11-12,DewDue,"\"A fun little romp in a magical London with dragons and 2 charming female leads. In an alternate universe, there exists a \"\"Reverse London\"\""
2848,Quanzhi Fashi,2022-11-12,stelllan,"So this isn't so much a review as it is an explanation for why I recommend the show even though I only gave it 6/10. To start off, its worth"
2849,5-toubun no Hanayome,2022-11-12,JustKirov,"First things first, this is a must watch, I just can't express how good is this show bat the very very very least you are not going to regret watching"
2850,Mononoke,2022-11-12,AbuShaitan,"Mononokes story is... there? Every episode is structured in a similar way with the main character, the Medicine Seller trying to find out who the Mononoke is to kill it."
2851,Chainsaw Man,2022-11-12,flyingsaucer101,"Should you watch chainsaw man? Yes, BUT Let's say you watched a few episodes, and you are not sure if it's for you. The reason why could be one of"
2852,C Danchi,2022-11-12,Marcelo_Flores,"\"In general, the search for an anime with a Lovecraftian theme is fruitless since there are not many adaptations or the adaptations that exist are mediocre; in this context \"\"Housing\""
2853,Meitantei Conan: Hannin no Hanzawa-san,2022-11-12,DiabloMask,"Let's start off by saying if you're not familiar with Detective Conan then you're wasting your time here, this spin-off is a parody of that series and has nothing else"
2854,Boku no Hero Academia 6th Season,2022-11-12,-brien-,"7/25 Seen This is the best season of this show yet. Exciting as all hell and the character development techniques used are amazing. The last season really wasn't that good,"
2855,Suzume no Tojimari,2022-11-12,kumajoi,My first impression and summary. A movie that captures the current Japan. Human warmth and strength. It was a movie that gave me the little courage to walk in life.
2856,Jujutsu Kaisen 0 Movie,2022-11-12,Soulwarfare,"Jujutsu Kaisen (2020) anime was awesome, so I was definitely looking forward to the prequel movie. STORY: 5/10 The story is very straight forward which is slightly disappointing. The main"
2857,Bleach: Sennen Kessen-hen,2022-11-12,SultanTK,"as big fan of this series i love what they done with this arc. they delete all comedy content from the manga and make minor changes, and what we see"
2858,Chainsaw Man,2022-11-12,ZlatanTheCrow,For the people that think Chainsaw Man is overhyped and don't get why: The manga has more than 100 chapters. The hype comes from the whole story. We haven't even
2859,Kimetsu no Yaiba,2022-11-12,ZenStarwalker,"What can I say that won't upset half of the anime world? Nothing, because this show is beyond anything I have ever seen before! Words can't express how amazing this"
2860,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",2022-11-12,ZenStarwalker,Odd. I see a lot of bad reviews on this series but I couldn't disagree with them more. At surface level it does seem like just another sub-par Isekai with
2861,Hataage! Kemono Michi,2022-11-12,Socal101,"Really funny show that reminded me of Konosuba, worth a watch as long as you dont expect it to have some thicc plot. Its just a comedy and to be"
2862,Arknights: Reimei Zensou,2022-11-12,MajiMaestro,"I'll try to keep this short, as the anime is still ongoing. Arknights will demand patience from you for the first few episodes, it's the main fear I've had as"
2863,One Piece Film: Red,2022-11-12,DesolatePsyche,"\"One Piece Film: Red 8/7/9/9/9 First things first. My \"\"reviews\"\" system is explained on my wordpress page. Which can be found through my profile. Although TLDR; personal feelings over „objective“/\"\"critic\"\"\""
2864,Yuri!!! on Ice,2022-11-12,Froggiesenpai,"\"What i loved about this series was the \"\"normalcy\"\" of lgbt characters. many anime with a lgbt storyline often dont have a strong writing"
2865,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,2022-11-12,YudiYusantoS,Here is my review of this anime in 2022! Story (10) The story is about the continuation of 3rd season of this anime. This season is more focused on a
2822,Ai no Utagoe wo Kikasete,2022-11-13,Justykanna,I went in completely blind for this film - I didn't even look up a synopsis. I just knew it was a school-slice of life type movie. Now with the
